,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,313.0,432.0,462.0,0.054986021845408406,3.8421826130810777,4.277708641246733
dstar,295.0,405.0,436.0,0.09963883204183616,5.004794091731291,5.467501254684464
jaccard,291.0,408.0,436.0,0.08433118343858842,4.839410281929263,5.31482245433113
meco,294.0,406.0,443.0,0.069556980903166,4.697883328561305,5.158892411460349
ochiai,295.0,411.0,437.0,0.08845489300449841,4.529463700732682,4.974627879721662
ochiai2,298.0,414.0,440.0,0.06392463358271072,4.499626254020236,4.965678408076046
opt,288.0,384.0,436.0,0.1373360166315702,5.562921054898148,6.095048520077475
tarantula,312.0,432.0,458.0,0.0562374875951076,3.629294543723593,4.062109177555514
sgf_1,295.0,411.0,437.0,0.08845489300449841,4.525857931501913,4.9710221104908925
sgf_2,287.0,393.0,432.0,0.0923513230408102,5.946950009623418,6.460203532634255
fo1,529.0,552.0,554.0,0.03536642117287957,1.0967906057039336,1.1173655169038448
fo2,252.0,387.0,432.0,0.13562609411183713,4.85360582485703,5.311366264046697
fo7,362.0,509.0,524.0,0.0736278414138878,1.6588848472338735,1.7160613061224335
fo8,268.0,383.0,433.0,0.09220311704717057,4.228373820160675,4.630635456737569
fo17,315.0,451.0,487.0,0.17912229863164603,3.72690753562161,3.948738830140737
