,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,19.0,23.0,24.0,0.02171753923014427,2.08,2.08
dstar,19.0,23.0,24.0,0.025093944337641814,1.72,1.78
jaccard,19.0,23.0,24.0,0.01952175182427283,1.76,1.78
meco,18.0,23.0,24.0,0.033881580604269684,1.64,1.68
ochiai,19.0,23.0,24.0,0.019093944337641815,1.72,1.74
ochiai2,19.0,23.0,24.0,0.019093944337641815,1.72,1.74
opt,17.0,22.0,23.0,0.06978634250903158,2.68,2.72
tarantula,19.0,23.0,24.0,0.01991027086825406,1.72,1.72
sgf_1,19.0,23.0,24.0,0.019093944337641815,1.72,1.74
sgf_2,16.0,22.0,23.0,0.07089745362014269,2.6,2.64
fo1,25.0,25.0,25.0,0.0,1.0,1.0
fo2,17.0,23.0,24.0,0.04242727767097515,1.8,1.82
fo7,20.0,23.0,23.0,0.026201001612766315,1.8,1.82
fo8,17.0,23.0,23.0,0.03896771202653555,2.0,2.02
fo17,19.0,24.0,25.0,0.044120896843585916,1.44,1.46
