,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,11.0,27.0,29.0,0.1721259331553449,3.0,3.2432432432432434
dstar,13.0,28.0,28.0,0.16511151805269453,2.891891891891892,3.2027027027027026
jaccard,13.0,28.0,29.0,0.16305670349787998,2.864864864864865,3.135135135135135
meco,11.0,26.0,29.0,0.1724868268985916,2.972972972972973,3.2162162162162162
ochiai,13.0,28.0,28.0,0.16382451676569323,2.864864864864865,3.2027027027027026
ochiai2,13.0,28.0,29.0,0.14741300035417682,2.7027027027027026,3.027027027027027
opt,7.0,14.0,27.0,0.2658136444901151,3.891891891891892,4.121621621621622
tarantula,12.0,28.0,29.0,0.17140328537387362,2.972972972972973,3.22972972972973
sgf_1,13.0,28.0,28.0,0.16382451676569323,2.864864864864865,3.2027027027027026
sgf_2,9.0,26.0,29.0,0.1711612116023881,2.972972972972973,3.2567567567567566
fo1,36.0,36.0,37.0,0.024774774774774775,1.0810810810810811,1.0810810810810811
fo2,9.0,22.0,29.0,0.24147364956188486,3.27027027027027,3.581081081081081
fo7,25.0,36.0,37.0,0.0718317188905424,1.4324324324324325,1.4594594594594594
fo8,10.0,20.0,29.0,0.23077545136368666,3.4594594594594597,3.7837837837837838
fo17,9.0,26.0,33.0,0.31263602587132,3.081081081081081,3.22972972972973
