,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,14.0,15.0,16.0,0.06770833333333334,1.25,1.4270833333333335
dstar,15.0,15.0,16.0,0.036458333333333336,1.1875,1.3645833333333335
jaccard,14.0,15.0,16.0,0.06770833333333334,1.25,1.4270833333333335
meco,15.0,15.0,16.0,0.036458333333333336,1.1875,1.40625
ochiai,14.0,15.0,16.0,0.06770833333333334,1.25,1.4270833333333335
ochiai2,14.0,15.0,16.0,0.06770833333333334,1.25,1.4270833333333335
opt,14.0,15.0,16.0,0.06770833333333334,1.25,1.40625
tarantula,14.0,15.0,16.0,0.06770833333333334,1.25,1.3854166666666667
sgf_1,14.0,15.0,16.0,0.06770833333333334,1.25,1.4270833333333335
sgf_2,14.0,15.0,16.0,0.06770833333333334,1.25,1.40625
fo1,16.0,16.0,16.0,0.0,1.0,1.0
fo2,14.0,16.0,16.0,0.046875,1.125,1.3645833333333335
fo7,15.0,16.0,16.0,0.03125,1.0625,1.125
fo8,14.0,16.0,16.0,0.046875,1.125,1.3645833333333335
fo17,14.0,16.0,16.0,0.046875,1.125,1.3125
