,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,30.0,40.0,42.0,0.06181214352604053,2.276595744680851,2.596757852077001
dstar,30.0,38.0,41.0,0.08877893003010037,2.702127659574468,3.030395136778116
jaccard,28.0,37.0,41.0,0.09279427919462796,2.8297872340425534,3.154002026342452
meco,28.0,38.0,41.0,0.07160509225389675,2.5531914893617023,2.893617021276596
ochiai,28.0,37.0,41.0,0.09154271473905848,2.8297872340425534,3.1509625126646403
ochiai2,28.0,37.0,41.0,0.09154271473905848,2.8297872340425534,3.147922998986829
opt,23.0,34.0,39.0,0.1690775151214571,3.276595744680851,3.580547112462006
tarantula,28.0,40.0,41.0,0.08137817153587658,2.617021276595745,2.9088145896656536
sgf_1,28.0,37.0,41.0,0.09154271473905848,2.8297872340425534,3.1509625126646403
sgf_2,27.0,35.0,40.0,0.10280766871465882,3.021276595744681,3.3718338399189465
fo1,46.0,47.0,47.0,0.018773466833541926,1.0212765957446808,1.0212765957446808
fo2,24.0,34.0,39.0,0.13756222509122523,2.9555555555555557,3.2888888888888888
fo7,37.0,47.0,47.0,0.03937236617480797,1.2340425531914894,1.3525835866261398
fo8,23.0,34.0,39.0,0.11334791286223855,3.0,3.3153439153439157
fo17,25.0,41.0,44.0,0.1442287646219605,2.3617021276595747,2.5724417426545085
