,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,8.0,16.0,16.0,0.08693181818181818,1.6875,1.6875
dstar,8.0,16.0,16.0,0.08693181818181818,1.6875,1.6875
jaccard,8.0,16.0,16.0,0.08693181818181818,1.6875,1.6875
meco,8.0,16.0,16.0,0.08693181818181818,1.6875,1.6875
ochiai,8.0,16.0,16.0,0.08693181818181818,1.6875,1.6875
ochiai2,8.0,16.0,16.0,0.08693181818181818,1.6875,1.6875
opt,8.0,16.0,16.0,0.09734848484848485,1.75,1.75
tarantula,8.0,16.0,16.0,0.08693181818181818,1.6875,1.6875
sgf_1,8.0,16.0,16.0,0.08693181818181818,1.6875,1.6875
sgf_2,8.0,16.0,16.0,0.08693181818181818,1.6875,1.6875
fo1,16.0,16.0,16.0,0.0,1.0,1.0
fo2,9.0,13.0,16.0,0.13849431818181818,1.9375,1.9375
fo7,14.0,16.0,16.0,0.018750000000000003,1.125,1.125
fo8,9.0,13.0,16.0,0.13849431818181818,1.9375,1.9375
fo17,7.0,16.0,16.0,0.20885416666666667,1.75,1.75
