,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,9.0,13.0,13.0,0.0382561250784899,2.4375,2.5
dstar,9.0,13.0,13.0,0.0345796544902546,2.375,2.4375
jaccard,9.0,13.0,13.0,0.0345796544902546,2.375,2.4375
meco,8.0,13.0,13.0,0.03483826857418605,2.5,2.5625
ochiai,9.0,13.0,13.0,0.0345796544902546,2.375,2.4375
ochiai2,9.0,13.0,13.0,0.0345796544902546,2.375,2.4375
opt,9.0,12.0,12.0,0.04145829632626745,2.75,2.84375
tarantula,9.0,13.0,13.0,0.0382561250784899,2.4375,2.5
sgf_1,9.0,13.0,13.0,0.0345796544902546,2.375,2.4375
sgf_2,9.0,12.0,12.0,0.04145829632626745,2.75,2.8125
fo1,15.0,16.0,16.0,0.05739795918367347,1.0625,1.0625
fo2,9.0,13.0,13.0,0.03532370210930222,2.4375,2.5
fo7,14.0,16.0,16.0,0.061074429771908766,1.125,1.125
fo8,8.0,13.0,13.0,0.03659921231338385,2.5,2.5625
fo17,11.0,14.0,14.0,0.10884808468842082,2.3125,2.34375
