,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,18.0,25.0,25.0,0.010180236398804698,1.28,1.7666666666666666
dstar,12.0,19.0,20.0,0.11025413266171771,3.68,4.266666666666667
jaccard,12.0,20.0,21.0,0.0703806962616352,2.68,3.1933333333333334
meco,16.0,24.0,25.0,0.015785013441516352,1.48,2.2266666666666666
ochiai,12.0,24.0,24.0,0.031235905825450043,1.96,2.4933333333333336
ochiai2,15.0,25.0,25.0,0.013241407652228462,1.4,1.9333333333333331
opt,11.0,14.0,14.0,0.23197657269035754,6.96,7.82
tarantula,18.0,25.0,25.0,0.01115584615490226,1.28,1.7666666666666666
sgf_1,12.0,24.0,24.0,0.031235905825450043,1.96,2.4933333333333336
sgf_2,13.0,18.0,19.0,0.08509227567868376,3.36,4.26
fo1,25.0,25.0,25.0,0.0,1.0,1.0
fo2,9.0,18.0,19.0,0.1712551836473939,4.2,4.866666666666667
fo7,15.0,23.0,25.0,0.059640818818611496,1.76,1.8533333333333335
fo8,16.0,21.0,21.0,0.07493981922623227,2.88,3.353333333333333
fo17,14.0,20.0,21.0,0.11599793480585965,3.04,3.1133333333333337
