,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,34.0,45.0,56.0,0.10488827571265903,16.98076923076923,19.004235347985347
dstar,26.0,33.0,41.0,0.17836389849163123,30.807692307692307,32.638392857142854
jaccard,26.0,34.0,39.0,0.13262809234681355,28.08653846153846,30.405677655677657
meco,26.0,32.0,39.0,0.12067154942541883,26.33653846153846,28.349130036630036
ochiai,26.0,33.0,39.0,0.15637271977565959,26.0,27.705357142857146
ochiai2,26.0,33.0,39.0,0.12424258387927653,27.567307692307693,29.620421245421248
opt,42.0,49.0,57.0,0.1767970831599533,23.634615384615383,26.141254578754577
tarantula,34.0,45.0,54.0,0.10517773986758944,15.615384615384615,17.593978937728938
sgf_1,26.0,33.0,39.0,0.15637271977565959,25.942307692307693,27.64766483516484
sgf_2,27.0,33.0,38.0,0.16750580440615284,40.47115384615385,42.97859432234432
fo1,98.0,101.0,102.0,0.05545362789352521,1.2307692307692308,1.2307692307692308
fo2,6.0,36.0,42.0,0.23755081197601505,22.48235294117647,24.3687675070028
fo7,31.0,70.0,76.0,0.17074208584987507,3.3653846153846154,3.479395604395605
fo8,14.0,25.0,41.0,0.19482387025106024,18.258823529411764,19.45406162464986
fo17,51.0,64.0,70.0,0.22480929521380383,13.403846153846153,14.460164835164836
