,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,5.0,5.0,5.0,0.0,1.0,1.0
dstar,0.0,1.0,3.0,0.5140895821930305,6.2,6.2
jaccard,0.0,1.0,3.0,0.35372194854953476,6.4,6.4
meco,0.0,1.0,4.0,0.19173964604999086,5.0,5.0
ochiai,1.0,1.0,3.0,0.42367724867724876,5.2,5.2
ochiai2,1.0,2.0,4.0,0.12764550264550265,3.4,3.4
opt,0.0,2.0,3.0,0.4847245028279511,5.2,5.2
tarantula,5.0,5.0,5.0,0.0,1.0,1.0
sgf_1,1.0,1.0,3.0,0.42367724867724876,5.2,5.2
sgf_2,0.0,1.0,3.0,0.32161558109833976,7.2,7.2
fo1,5.0,5.0,5.0,0.0,1.0,1.0
fo2,0.0,2.0,3.0,0.4910600255427841,5.8,5.8
fo7,1.0,4.0,5.0,0.07329866812625432,2.4,2.4
fo8,4.0,5.0,5.0,0.006896551724137931,1.2,1.2
fo17,0.0,2.0,3.0,0.4765097609925196,5.4,5.4
