,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,12.0,27.0,28.0,0.035271175083965704,3.7222222222222223,4.631944444444445
dstar,12.0,26.0,28.0,0.038362128289157804,4.0,4.986111111111111
jaccard,13.0,27.0,28.0,0.03414717488284562,3.611111111111111,4.576388888888889
meco,15.0,27.0,28.0,0.03916172235104878,4.166666666666667,5.138888888888889
ochiai,13.0,28.0,29.0,0.033570788676389615,3.5555555555555554,4.527777777777778
ochiai2,13.0,28.0,28.0,0.03411932748657717,3.611111111111111,4.506944444444445
opt,13.0,23.0,30.0,0.03642401987075439,3.4444444444444446,4.87962962962963
tarantula,12.0,27.0,28.0,0.034436526734697465,3.611111111111111,4.555555555555555
sgf_1,13.0,28.0,29.0,0.033570788676389615,3.5555555555555554,4.527777777777778
sgf_2,18.0,29.0,31.0,0.025016607377080762,2.888888888888889,4.041666666666667
fo1,33.0,36.0,36.0,0.08103531391966533,1.0833333333333333,1.1805555555555556
fo2,9.0,22.0,27.0,0.06083916339890669,4.444444444444445,5.43287037037037
fo7,21.0,35.0,36.0,0.11229190073895239,1.5,1.6435185185185184
fo8,8.0,23.0,27.0,0.060816405388086886,4.444444444444445,5.400462962962964
fo17,17.0,33.0,35.0,0.12305558453136382,1.8611111111111112,2.2083333333333335
