,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,5.0,12.0,14.0,0.07251380350713765,5.545454545454546,7.68560606060606
dstar,3.0,10.0,11.0,0.1037846428097665,6.2727272727272725,8.571969696969695
jaccard,3.0,10.0,12.0,0.10149945095726277,6.2727272727272725,8.412878787878787
meco,4.0,10.0,12.0,0.0854771619198221,6.2727272727272725,8.321969696969695
ochiai,3.0,9.0,10.0,0.10323567668621612,6.2727272727272725,8.549242424242424
ochiai2,3.0,10.0,11.0,0.08450708690872487,6.090909090909091,8.27651515151515
opt,3.0,7.0,9.0,0.19826329217109942,11.5,13.553030303030305
tarantula,5.0,11.0,13.0,0.08843873334105502,5.7727272727272725,7.890151515151515
sgf_1,3.0,9.0,10.0,0.10323567668621612,6.2727272727272725,8.549242424242424
sgf_2,3.0,8.0,10.0,0.11654077981302015,8.590909090909092,10.52651515151515
fo1,21.0,22.0,22.0,0.039460539460539464,1.0454545454545454,1.0681818181818181
fo2,3.0,6.0,12.0,0.24796878399868694,7.863636363636363,9.924242424242424
fo7,9.0,19.0,21.0,0.10466185365036756,2.227272727272727,2.2954545454545454
fo8,4.0,8.0,12.0,0.21307793877722972,6.863636363636363,9.037878787878787
fo17,3.0,9.0,16.0,0.3883320595407311,4.636363636363637,5.2689393939393945
