,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,56.0,60.0,62.0,0.017005738534490288,1.1612903225806452,1.1612903225806452
dstar,55.0,60.0,62.0,0.026511660382628123,1.1935483870967742,1.1935483870967742
jaccard,55.0,60.0,62.0,0.01984966879777539,1.1935483870967742,1.1935483870967742
meco,54.0,60.0,62.0,0.03457617651166038,1.2096774193548387,1.2096774193548387
ochiai,55.0,60.0,62.0,0.01984966879777539,1.1935483870967742,1.1935483870967742
ochiai2,55.0,60.0,62.0,0.01984966879777539,1.1935483870967742,1.1935483870967742
opt,54.0,60.0,62.0,0.01826120349963267,1.1935483870967742,1.1935483870967742
tarantula,56.0,60.0,62.0,0.017005738534490288,1.1612903225806452,1.1612903225806452
sgf_1,55.0,60.0,62.0,0.01984966879777539,1.1935483870967742,1.1935483870967742
sgf_2,53.0,60.0,62.0,0.021193754819280767,1.2258064516129032,1.2258064516129032
fo1,57.0,62.0,62.0,0.05563347358578775,1.0806451612903225,1.0806451612903225
fo2,51.0,59.0,61.0,0.03867624416448365,1.278688524590164,1.278688524590164
fo7,52.0,62.0,62.0,0.052338148060448196,1.2419354838709677,1.2419354838709677
fo8,52.0,59.0,61.0,0.03750528397713002,1.2459016393442623,1.2459016393442623
fo17,50.0,60.0,60.0,0.07137878484302047,1.3709677419354838,1.3709677419354838
