,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,73.0,94.0,101.0,0.04932249035756893,1.8269230769230769,1.989010989010989
dstar,72.0,93.0,101.0,0.05617853876664522,1.8653846153846154,2.2039835164835164
jaccard,72.0,94.0,101.0,0.05036982022068827,1.8461538461538463,2.117445054945055
meco,70.0,91.0,101.0,0.05784066634982543,1.9326923076923077,2.1998626373626373
ochiai,73.0,94.0,101.0,0.050766787571096914,1.8557692307692308,2.1490384615384617
ochiai2,73.0,94.0,101.0,0.05012913574923457,1.8461538461538463,2.1497252747252746
opt,70.0,91.0,101.0,0.05595736118272316,1.9423076923076923,2.334478021978022
tarantula,73.0,94.0,101.0,0.04970710574218432,1.8365384615384615,2.044642857142857
sgf_1,73.0,94.0,101.0,0.050766787571096914,1.8557692307692308,2.1490384615384617
sgf_2,70.0,91.0,102.0,0.055704324745476194,1.9326923076923077,2.3125
fo1,97.0,104.0,104.0,0.06811600795459617,1.0769230769230769,1.1195054945054945
fo2,72.0,92.0,99.0,0.04849424092216418,1.8627450980392157,2.178571428571429
fo7,86.0,103.0,104.0,0.08407695604460834,1.2019230769230769,1.282967032967033
fo8,71.0,92.0,99.0,0.048083055671189354,1.8725490196078431,2.1281512605042017
fo17,74.0,96.0,101.0,0.11909141080757847,1.6346153846153846,1.9429945054945053
