,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,5.0,9.0,10.0,0.09198806734464525,10.466666666666667,10.75
dstar,6.0,9.0,10.0,0.06269929775673216,6.333333333333333,6.616666666666666
jaccard,5.0,9.0,10.0,0.07795991182746966,8.333333333333334,8.616666666666667
meco,5.0,9.0,10.0,0.08625728840998532,9.866666666666667,10.15
ochiai,7.0,9.0,10.0,0.06225485331228772,6.266666666666667,6.55
ochiai2,7.0,9.0,10.0,0.07481879847291797,8.0,8.283333333333333
opt,4.0,7.0,7.0,0.17197444936835835,11.133333333333333,11.416666666666666
tarantula,5.0,9.0,10.0,0.08334104164030962,8.866666666666667,9.15
sgf_1,7.0,9.0,10.0,0.06225485331228772,6.266666666666667,6.55
sgf_2,5.0,6.0,10.0,0.07128083968789009,7.6,7.883333333333334
fo1,12.0,14.0,14.0,0.16521757515996902,1.8666666666666667,2.033333333333333
fo2,6.0,9.0,9.0,0.15889130907715826,10.4,10.7
fo7,7.0,13.0,13.0,0.19380115166738623,2.466666666666667,2.6333333333333333
fo8,4.0,9.0,9.0,0.1576721936116167,10.666666666666666,10.966666666666667
fo17,5.0,7.0,8.0,0.31020950632807937,11.333333333333334,11.766666666666667
