,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,12.0,19.0,19.0,0.05005467008209191,5.76,5.92
dstar,13.0,19.0,20.0,0.0670232328922264,6.16,6.3
jaccard,12.0,19.0,19.0,0.044149630651202455,5.24,5.5
meco,14.0,19.0,21.0,0.04520055014529257,5.36,5.5
ochiai,12.0,19.0,19.0,0.07063365690205081,6.44,6.58
ochiai2,12.0,19.0,19.0,0.04697116029485068,5.32,5.62
opt,11.0,16.0,18.0,0.11180516470560332,7.4,7.56
tarantula,12.0,19.0,19.0,0.04494906513484746,5.24,5.4
sgf_1,12.0,19.0,19.0,0.07063365690205081,6.44,6.58
sgf_2,13.0,19.0,19.0,0.07270641924843017,6.6,6.76
fo1,25.0,25.0,25.0,0.0,1.0,1.0
fo2,12.0,20.0,21.0,0.07312557044659596,4.8,4.94
fo7,13.0,24.0,25.0,0.07871436321567567,1.6,1.62
fo8,12.0,20.0,20.0,0.0763751473803834,5.2,5.32
fo17,14.0,21.0,23.0,0.1710095023514262,3.88,3.98
