,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,134.0,216.0,252.0,0.02794217499159676,10.415309056218042,20.545752362534827
dstar,112.0,188.0,223.0,0.07897134904267736,27.032116750580407,36.36492978811308
jaccard,126.0,211.0,244.0,0.051162334227208936,18.606756451947994,28.36060695921067
meco,109.0,184.0,219.0,0.05700206994095511,15.057423558886097,24.94531794113348
ochiai,126.0,211.0,247.0,0.05001243364750706,19.14600958105343,28.591336615707093
ochiai2,124.0,209.0,246.0,0.03807169764185509,16.68016837196424,26.47735503912326
opt,100.0,171.0,207.0,0.08929543642766948,34.85469492476893,44.56541044331769
tarantula,135.0,218.0,251.0,0.028120130665309415,10.381361856591983,20.233146983767995
sgf_1,126.0,211.0,247.0,0.05001243364750706,19.13175519508852,28.57372124576048
sgf_2,112.0,189.0,227.0,0.05652720747037508,27.4996309384627,37.348635302032314
fo1,108.0,229.0,268.0,0.6390363859269322,10.472552629966422,13.114319145078884
fo2,96.0,185.0,220.0,0.08984833101882511,25.302995094791406,33.02387363955834
fo7,114.0,219.0,258.0,0.4139367036716611,9.945783903579516,12.423720974024622
fo8,106.0,194.0,227.0,0.05711356576748443,20.182931510763204,27.47816245460094
fo17,101.0,166.0,198.0,0.2695256176619157,28.772436497581417,34.56572977314263
