,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,12.0,17.0,19.0,0.015017822074705714,5.833333333333333,8.230555555555556
dstar,9.0,16.0,19.0,0.02443619691780635,3.9583333333333335,6.775000000000001
jaccard,11.0,17.0,20.0,0.009870348042584772,3.8333333333333335,6.338888888888889
meco,8.0,16.0,19.0,0.030066696965955028,6.166666666666667,8.704166666666667
ochiai,11.0,17.0,20.0,0.008359101794626527,3.7916666666666665,6.277777777777778
ochiai2,11.0,17.0,20.0,0.009075535262419379,3.9166666666666665,6.390277777777778
opt,8.0,14.0,17.0,0.03722837006383905,14.333333333333334,16.84027777777778
tarantula,12.0,17.0,19.0,0.013762766633825599,4.208333333333333,6.55
sgf_1,11.0,17.0,20.0,0.008359101794626527,3.7916666666666665,6.277777777777778
sgf_2,8.0,14.0,18.0,0.032105216019118483,13.75,16.17638888888889
fo1,3.0,15.0,19.0,0.7593598803592818,20.208333333333332,20.90277777777778
fo2,8.0,17.0,20.0,0.015454844814455526,4.0,6.711111111111111
fo7,8.0,15.0,20.0,0.4364653589422475,10.583333333333334,10.948611111111111
fo8,9.0,17.0,19.0,0.019903823553651473,5.083333333333333,7.401388888888889
fo17,8.0,13.0,16.0,0.21456107774731473,10.0,10.551388888888889
