,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,2.0,3.0,4.0,0.12338385082867179,10.6,12.51
dstar,3.0,3.0,4.0,0.12303103095270493,10.6,12.27
jaccard,3.0,3.0,4.0,0.1260161055795706,10.6,12.27
meco,3.0,3.0,3.0,0.13584076246974736,11.0,13.030000000000001
ochiai,3.0,3.0,4.0,0.12303103095270493,10.5,12.17
ochiai2,3.0,3.0,3.0,0.12210959805555739,10.3,12.35
opt,1.0,3.0,3.0,0.13952624248522988,12.5,14.190000000000001
tarantula,2.0,3.0,4.0,0.12677368133714637,10.7,12.370000000000001
sgf_1,3.0,3.0,4.0,0.12303103095270493,10.5,12.17
sgf_2,2.0,2.0,4.0,0.12928181776509054,10.1,11.95
fo1,2.0,4.0,4.0,0.5769274083326905,9.5,11.07
fo2,2.0,2.0,3.0,0.1620923166248957,11.7,13.1
fo7,2.0,4.0,4.0,0.5363832663478705,9.4,11.03
fo8,2.0,2.0,3.0,0.1644548166248957,11.9,13.3
fo17,0.0,2.0,4.0,0.3995308162136835,17.6,20.86
