,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,2.0,4.0,5.0,0.02706868260665729,2.2,2.2
dstar,3.0,4.0,5.0,0.024537037037037038,2.0,2.0
jaccard,3.0,4.0,5.0,0.024537037037037038,2.0,2.0
meco,3.0,4.0,5.0,0.024537037037037038,2.0,2.0
ochiai,3.0,4.0,5.0,0.024537037037037038,2.0,2.0
ochiai2,2.0,4.0,5.0,0.02706868260665729,2.2,2.2
opt,3.0,4.0,5.0,0.02037037037037037,1.8,1.8
tarantula,2.0,4.0,5.0,0.02706868260665729,2.2,2.2
sgf_1,3.0,4.0,5.0,0.024537037037037038,2.0,2.0
sgf_2,3.0,4.0,5.0,0.02037037037037037,1.8,1.8
fo1,0.0,3.0,4.0,0.8171236858498867,3.6,3.6
fo2,3.0,4.0,5.0,0.024537037037037038,2.0,2.0
fo7,1.0,4.0,4.0,0.5073515339511525,2.8,2.8
fo8,2.0,4.0,5.0,0.0271011396011396,2.2,2.2
fo17,3.0,3.0,4.0,0.16990740740740742,4.4,4.4
