,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,1.0,1.0,1.0,0.0,1.0,11.0
dstar,0.0,0.0,0.0,0.2827586206896552,15.0,15.0
jaccard,1.0,1.0,1.0,0.0,1.0,11.0
meco,0.0,0.0,0.0,0.2827586206896552,15.0,15.0
ochiai,1.0,1.0,1.0,0.0,1.0,11.0
ochiai2,1.0,1.0,1.0,0.0,1.0,11.0
opt,1.0,1.0,1.0,0.0,1.0,11.0
tarantula,1.0,1.0,1.0,0.0,1.0,11.0
sgf_1,1.0,1.0,1.0,0.0,1.0,11.0
sgf_2,1.0,1.0,1.0,0.0,1.0,11.0
fo1,1.0,1.0,1.0,0.503448275862069,1.0,1.3333333333333333
fo2,1.0,1.0,1.0,0.0,1.0,1.0
fo7,1.0,1.0,1.0,0.0,1.0,1.6666666666666667
fo8,1.0,1.0,1.0,0.0,1.0,1.0
fo17,1.0,1.0,1.0,0.0,1.0,1.6666666666666667
