,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,10.0,19.0,24.0,0.061232579239393715,11.076923076923077,15.420470923412099
dstar,13.0,17.0,20.0,0.07867018123799312,16.28205128205128,20.74596949891068
jaccard,10.0,18.0,22.0,0.07382734211963833,15.538461538461538,19.909074912016088
meco,13.0,17.0,20.0,0.07239155003165532,13.820512820512821,18.405513658454836
ochiai,10.0,18.0,21.0,0.07540541735497329,16.0,20.43329143623261
ochiai2,10.0,18.0,21.0,0.07228555842889571,16.205128205128204,20.63371878665996
opt,6.0,13.0,20.0,0.07849171793808893,16.743589743589745,21.784757834757837
tarantula,10.0,19.0,22.0,0.06637239691369091,12.512820512820513,16.773747276688454
sgf_1,10.0,18.0,21.0,0.07540541735497329,16.0,20.43329143623261
sgf_2,8.0,18.0,21.0,0.0716736443992701,15.948717948717949,20.576738729679903
fo1,12.0,20.0,26.0,0.6896870860172996,9.76923076923077,12.202756829227418
fo2,7.0,18.0,21.0,0.09635889000769263,16.615384615384617,19.33148148148148
fo7,10.0,19.0,24.0,0.4728084602524991,10.282051282051283,12.646757164404224
fo8,8.0,18.0,22.0,0.08833294094335058,14.41025641025641,17.126923076923077
fo17,6.0,17.0,21.0,0.3258322586455048,26.641025641025642,32.02916038210156
