,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,1.0,2.0,3.0,0.01872201872201872,2.6666666666666665,2.6666666666666665
dstar,1.0,2.0,3.0,0.01872201872201872,2.6666666666666665,2.6666666666666665
jaccard,1.0,2.0,3.0,0.01872201872201872,2.6666666666666665,2.6666666666666665
meco,1.0,2.0,3.0,0.01872201872201872,2.6666666666666665,2.6666666666666665
ochiai,1.0,2.0,3.0,0.01872201872201872,2.6666666666666665,2.6666666666666665
ochiai2,1.0,2.0,3.0,0.01872201872201872,2.6666666666666665,2.6666666666666665
opt,1.0,2.0,3.0,0.01872201872201872,2.6666666666666665,2.6666666666666665
tarantula,1.0,2.0,3.0,0.01872201872201872,2.6666666666666665,2.6666666666666665
sgf_1,1.0,2.0,3.0,0.01872201872201872,2.6666666666666665,2.6666666666666665
sgf_2,1.0,2.0,3.0,0.01872201872201872,2.6666666666666665,2.6666666666666665
fo1,0.0,2.0,2.0,0.6380656380656381,3.6666666666666665,3.6666666666666665
fo2,1.0,2.0,3.0,0.07167397660818713,2.6666666666666665,2.6666666666666665
fo7,1.0,2.0,2.0,0.4192104192104192,3.3333333333333335,3.3333333333333335
fo8,1.0,2.0,3.0,0.07167397660818713,2.6666666666666665,2.6666666666666665
fo17,1.0,1.0,2.0,0.2282763532763533,10.0,10.0
