,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,2.0,4.0,6.0,0.007923787655884005,5.875,16.607142857142858
dstar,2.0,4.0,6.0,0.0075977737645477866,5.875,18.449404761904763
jaccard,2.0,4.0,5.0,0.007549666177354463,5.625,16.095238095238095
meco,1.0,4.0,6.0,0.007824583186883968,6.125,19.050595238095237
ochiai,2.0,4.0,6.0,0.007508124136809431,5.625,16.42857142857143
ochiai2,2.0,4.0,5.0,0.007549666177354463,5.875,16.770833333333336
opt,2.0,3.0,5.0,0.011413749966782292,8.5,30.461309523809526
tarantula,2.0,4.0,6.0,0.0074665820962643995,5.75,16.238095238095237
sgf_1,2.0,4.0,6.0,0.007508124136809431,5.625,16.42857142857143
sgf_2,2.0,3.0,5.0,0.008048844682634736,6.5,21.56845238095238
fo1,3.0,6.0,6.0,0.6122120665116036,7.375,9.886904761904763
fo2,2.0,4.0,5.0,0.0405231748866139,7.5,18.386904761904763
fo7,3.0,6.0,6.0,0.5033830526398461,7.375,9.625
fo8,2.0,4.0,5.0,0.040477015359287466,7.5,18.25297619047619
fo17,2.0,2.0,4.0,0.3468657432591483,28.625,39.51488095238095
