,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,11.0,15.0,18.0,0.00349089287609669,5.260869565217392,24.714502164502164
dstar,7.0,13.0,15.0,0.0183356860970167,26.869565217391305,47.555292050944225
jaccard,6.0,12.0,15.0,0.013895431146986688,21.17391304347826,43.76254156471548
meco,6.0,14.0,17.0,0.00459960447009193,7.173913043478261,28.081761716544328
ochiai,6.0,14.0,18.0,0.0052845285721644444,4.6521739130434785,26.529619173097434
ochiai2,6.0,14.0,18.0,0.0032665843495590587,4.434782608695652,26.516064370412195
opt,3.0,6.0,7.0,0.03600060565763606,37.73913043478261,54.60416274546709
tarantula,11.0,15.0,19.0,0.0033514858236672147,4.304347826086956,22.497120271033317
sgf_1,6.0,14.0,18.0,0.0052845285721644444,4.6521739130434785,26.49338728903946
sgf_2,3.0,7.0,9.0,0.01503467112649933,25.82608695652174,45.62147562582346
fo1,9.0,15.0,17.0,0.6503905258399498,17.82608695652174,23.125189786059348
fo2,3.0,11.0,13.0,0.023549360329485382,9.130434782608695,27.506093544137023
fo7,6.0,12.0,16.0,0.3470048790033439,15.869565217391305,20.03051948051948
fo8,9.0,15.0,16.0,0.01591682561890693,6.608695652173913,19.633352155091288
fo17,4.0,11.0,12.0,0.21062333590129279,22.565217391304348,31.714304536043667
