,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,25.0,28.0,34.0,0.028005585918889873,48.80701754385965,84.98989139515454
dstar,21.0,26.0,32.0,0.09064714079855078,201.17543859649123,228.56766917293234
jaccard,21.0,26.0,31.0,0.051670758325971504,107.84210526315789,135.39310776942355
meco,21.0,25.0,31.0,0.037965710789677434,81.26315789473684,118.45100250626568
ochiai,21.0,26.0,31.0,0.06714465185158092,136.64912280701753,159.36708437761072
ochiai2,21.0,25.0,31.0,0.04896546731182208,121.6140350877193,148.18851294903928
opt,14.0,19.0,26.0,0.20818192457845533,229.5438596491228,260.49007936507934
tarantula,25.0,28.0,34.0,0.032370089372379576,51.98245614035088,86.51269841269841
sgf_1,21.0,26.0,31.0,0.06714465185158092,136.47368421052633,159.1916457811195
sgf_2,21.0,25.0,30.0,0.0751568244374151,194.17543859649123,220.03675856307436
fo1,29.0,36.0,40.0,0.4450464829785257,23.54385964912281,37.41988304093567
fo2,4.0,9.0,11.0,0.15136437129410987,222.25641025641025,248.04700854700852
fo7,22.0,30.0,34.0,0.35890135419239216,24.771929824561404,38.2936925647452
fo8,7.0,11.0,14.0,0.13512963669612746,193.28205128205127,219.22222222222226
fo17,13.0,20.0,26.0,0.3999769044477645,136.98245614035088,157.14636591478697
