,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,1.0,1.0,1.0,0.0,1.0,1.0
dstar,0.0,0.0,0.0,0.3489010989010989,60.0,60.0
jaccard,0.0,0.0,0.0,0.34065934065934067,57.0,57.0
meco,0.0,0.0,0.0,0.0521978021978022,11.0,11.0
ochiai,0.0,0.0,0.0,0.30494505494505497,47.0,47.0
ochiai2,0.0,0.0,0.0,0.1510989010989011,25.0,25.0
opt,0.0,0.0,0.0,0.3489010989010989,61.0,61.0
tarantula,1.0,1.0,1.0,0.0,1.0,1.0
sgf_1,0.0,0.0,0.0,0.30494505494505497,47.0,47.0
sgf_2,0.0,0.0,0.0,0.31868131868131866,57.0,57.0
fo1,0.0,1.0,1.0,0.5934065934065934,2.0,2.0
fo2,0.0,0.0,0.0,0.5,51.0,51.0
fo7,0.0,0.0,1.0,0.046703296703296704,5.0,5.0
fo8,1.0,1.0,1.0,0.0,1.0,1.0
fo17,0.0,0.0,0.0,0.32967032967032966,53.0,53.0
