,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,1.0,9.0,9.0,0.017853842107747205,6.769230769230769,13.666666666666666
dstar,0.0,7.0,8.0,0.03411075153253388,13.538461538461538,20.01282051282051
jaccard,1.0,9.0,9.0,0.017314099065316724,6.615384615384615,13.384615384615385
meco,2.0,7.0,7.0,0.038260807411696164,14.461538461538462,21.03846153846154
ochiai,1.0,8.0,9.0,0.015884621580806793,6.230769230769231,12.692307692307692
ochiai2,1.0,8.0,9.0,0.016258034575579013,6.3076923076923075,13.038461538461538
opt,1.0,4.0,4.0,0.04338841708516986,19.76923076923077,24.96153846153846
tarantula,1.0,9.0,9.0,0.01769922285765057,6.6923076923076925,13.512820512820513
sgf_1,1.0,8.0,9.0,0.015884621580806793,6.230769230769231,12.692307692307692
sgf_2,3.0,7.0,9.0,0.016144021784866732,7.461538461538462,13.782051282051281
fo1,1.0,5.0,8.0,0.8024056362471512,13.923076923076923,17.5
fo2,1.0,6.0,9.0,0.03991678447283915,12.538461538461538,18.03846153846154
fo7,2.0,5.0,8.0,0.6280180472960099,13.692307692307692,17.26923076923077
fo8,1.0,7.0,9.0,0.03982671061227349,12.461538461538462,17.884615384615383
fo17,1.0,2.0,3.0,0.47171228368156376,35.38461538461539,43.57692307692308
