,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,0.0,1.0,1.0,0.030935112964148803,18.666666666666668,46.67222222222222
dstar,0.0,1.0,2.0,0.038825826015644625,19.5,43.83888888888888
jaccard,0.0,1.0,1.0,0.032150967135634805,18.333333333333332,45.33888888888888
meco,0.0,1.0,2.0,0.033499152435556435,20.166666666666668,48.50555555555555
ochiai,0.0,1.0,1.0,0.03673092873467702,19.0,43.56111111111111
ochiai2,0.0,1.0,1.0,0.03214844486579373,18.833333333333332,45.28333333333333
opt,0.0,1.0,1.0,0.07057541980276047,26.5,46.80555555555555
tarantula,0.0,1.0,1.0,0.0318509371326345,18.333333333333332,45.67222222222222
sgf_1,0.0,1.0,1.0,0.03673092873467702,19.0,43.56111111111111
sgf_2,0.0,1.0,1.0,0.03186162675243716,17.0,41.894444444444446
fo1,4.0,4.0,4.0,0.47356504619317347,24.0,29.416666666666668
fo2,0.0,1.0,1.0,0.15810114489697852,34.5,49.76111111111111
fo7,1.0,4.0,4.0,0.5369065823022661,24.666666666666668,29.869444444444444
fo8,0.0,1.0,1.0,0.1580806870031187,34.666666666666664,49.92777777777778
fo17,0.0,0.0,1.0,0.3704868662285905,42.0,57.05277777777778
