,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,17.0,33.0,39.0,0.051805880131552955,4.25531914893617,5.011550151975683
dstar,17.0,31.0,35.0,0.06302488212665207,4.148936170212766,4.906762917933131
jaccard,18.0,34.0,38.0,0.04759989748419418,3.702127659574468,4.4870820668693
meco,16.0,30.0,36.0,0.06467714206895145,4.425531914893617,5.318465045592705
ochiai,18.0,34.0,38.0,0.04704553869386837,3.6382978723404253,4.440273556231003
ochiai2,18.0,33.0,39.0,0.04487792344447319,3.6808510638297873,4.494883485309018
opt,18.0,33.0,36.0,0.08367632471145231,3.978723404255319,5.30453394123607
tarantula,17.0,34.0,39.0,0.049117269402348764,3.617021276595745,4.337082066869301
sgf_1,18.0,34.0,38.0,0.04704553869386837,3.6382978723404253,4.440273556231003
sgf_2,18.0,34.0,39.0,0.043032133898702564,3.6808510638297873,4.657826747720365
fo1,9.0,35.0,39.0,0.7778980327692646,4.8936170212765955,5.611170212765956
fo2,15.0,32.0,38.0,0.07852510802655455,3.595744680851064,4.390096251266464
fo7,10.0,37.0,39.0,0.4963350688582682,4.76595744680851,5.3980749746707195
fo8,14.0,32.0,38.0,0.07661094864263132,3.702127659574468,4.435840932117528
fo17,15.0,30.0,33.0,0.24731373713189814,6.319148936170213,7.643819655521782
