,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,44.0,64.0,71.0,0.02152628096013128,4.2444444444444445,10.741842881469319
dstar,30.0,48.0,58.0,0.06659638661207491,7.688888888888889,15.018647752843155
jaccard,45.0,63.0,73.0,0.02154256674549673,4.5777777777777775,11.466414127592287
meco,29.0,46.0,54.0,0.07119776777320352,8.133333333333333,14.995880921972876
ochiai,44.0,62.0,73.0,0.021475535131760575,4.466666666666667,11.691524736970141
ochiai2,43.0,62.0,73.0,0.021149393591544774,4.522222222222222,11.757384525329927
opt,38.0,56.0,67.0,0.03910387254404658,5.611111111111111,14.148913291370187
tarantula,45.0,64.0,71.0,0.02162038488310807,4.355555555555555,10.9827060907377
sgf_1,44.0,62.0,73.0,0.021475535131760575,4.466666666666667,11.691524736970141
sgf_2,38.0,57.0,67.0,0.03346957969544639,5.411111111111111,13.55665974882929
fo1,27.0,68.0,81.0,0.6968864796132749,3.4444444444444446,6.065687070485921
fo2,44.0,61.0,73.0,0.029120624594482742,4.033707865168539,10.71119136793294
fo7,42.0,67.0,80.0,0.40962413291286887,3.4555555555555557,5.718906829653956
fo8,44.0,62.0,73.0,0.02917904434809864,4.101123595505618,10.665873015873014
fo17,42.0,57.0,60.0,0.188458014003176,7.588888888888889,13.171002554278418
