,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,2.0,4.0,4.0,0.005204754509355464,3.6,19.89
dstar,2.0,4.0,4.0,0.0037745262334896042,3.0,25.03
jaccard,2.0,4.0,4.0,0.004265926724890096,3.2,19.98
meco,1.0,3.0,4.0,0.0037929768151441904,3.2,19.77
ochiai,3.0,4.0,4.0,0.003550812586957165,2.8,22.14
ochiai2,3.0,4.0,4.0,0.003550812586957165,2.8,21.03
opt,0.0,0.0,0.0,0.23629590495201164,61.2,66.67999999999999
tarantula,2.0,4.0,4.0,0.0049590542636552175,3.2,19.240000000000002
sgf_1,3.0,4.0,4.0,0.003550812586957165,2.8,22.14
sgf_2,1.0,2.0,3.0,0.04577116851656375,28.2,42.21
fo1,2.0,4.0,4.0,0.5095200966645704,9.6,10.5
fo2,3.0,4.0,4.0,0.008745460576113489,4.2,18.18
fo7,3.0,4.0,4.0,0.2765977916580326,9.4,10.43
fo8,2.0,4.0,4.0,0.009462306454249688,4.4,17.52
fo17,2.0,3.0,4.0,0.10424778778057667,14.2,16.669999999999998
