,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,3.0,11.0,13.0,0.03490370927029466,34.78947368421053,53.41052631578947
dstar,4.0,12.0,12.0,0.03957242704401325,40.21052631578947,59.00175438596491
jaccard,2.0,13.0,13.0,0.028975842669307614,34.0,52.677192982456134
meco,5.0,12.0,12.0,0.03370088599020587,34.31578947368421,53.10701754385965
ochiai,2.0,13.0,13.0,0.040574536265072646,40.31578947368421,59.06315789473685
ochiai2,2.0,13.0,13.0,0.03102054119214851,37.526315789473685,56.31754385964912
opt,4.0,12.0,12.0,0.056850945063751136,54.78947368421053,80.30877192982457
tarantula,3.0,12.0,13.0,0.028787518599903444,33.578947368421055,52.177192982456134
sgf_1,2.0,13.0,13.0,0.040574536265072646,40.26315789473684,58.992982456140346
sgf_2,3.0,12.0,12.0,0.04508206267424861,49.473684210526315,73.08070175438597
fo1,6.0,10.0,12.0,0.6786392401199418,13.210526315789474,15.528070175438598
fo2,2.0,13.0,13.0,0.03761020213175621,18.11111111111111,37.55185185185186
fo7,2.0,9.0,11.0,0.6472940144760643,12.736842105263158,14.719298245614036
fo8,3.0,13.0,13.0,0.03766718021383269,17.944444444444443,37.412962962962965
fo17,3.0,4.0,7.0,0.30494696719604686,44.05263157894737,54.05438596491228
