,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,196.0,308.0,356.0,0.062375362241106354,15.455821055782035,20.727862683628054
dstar,180.0,287.0,332.0,0.0911904457085316,24.5663894727549,29.109624632170764
jaccard,184.0,299.0,339.0,0.07252540843168306,17.91060048487423,22.73218322239191
meco,182.0,286.0,340.0,0.08004962739355402,18.172300840183492,23.48471305558825
ochiai,187.0,299.0,343.0,0.07367337937813839,19.928229391771303,24.405513461243505
ochiai2,186.0,299.0,343.0,0.06490529446760625,18.401807316829775,23.35671992506978
opt,158.0,257.0,298.0,0.10449387086532869,29.902742916262955,34.712205170004495
tarantula,194.0,310.0,353.0,0.06263402465363085,13.913440132873195,18.793394605475733
sgf_1,187.0,299.0,343.0,0.07367300342472052,19.909599584078997,24.38575685066658
sgf_2,182.0,285.0,329.0,0.07437955632124449,25.420321150930206,30.070250758316384
fo1,175.0,334.0,384.0,0.5706331763627968,14.643389620423964,16.23273501918269
fo2,141.0,259.0,300.0,0.11857889134014357,26.500396306808284,30.776744801480348
fo7,150.0,302.0,357.0,0.48950045266629205,14.55468398867702,16.07685189803847
fo8,153.0,265.0,310.0,0.11089900025847876,24.39198398726801,28.54788594344456
fo17,117.0,203.0,250.0,0.34860602453707545,32.375874684813866,36.08079617852556
