,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,15.0,19.0,22.0,0.018509214247828133,6.84,8.32
dstar,12.0,16.0,20.0,0.04202461819181172,4.08,6.12
jaccard,14.0,18.0,21.0,0.012862209872013024,3.04,4.56
meco,12.0,16.0,20.0,0.052936097055080664,6.04,7.84
ochiai,14.0,18.0,22.0,0.010613651763229943,2.88,4.42
ochiai2,14.0,18.0,21.0,0.011820547523393383,2.96,4.5
opt,11.0,16.0,19.0,0.04866890035353239,12.0,13.66
tarantula,15.0,19.0,22.0,0.013288176136539676,3.64,5.06
sgf_1,14.0,18.0,22.0,0.010613651763229943,2.88,4.42
sgf_2,11.0,16.0,20.0,0.03951550475344354,11.52,13.18
fo1,10.0,20.0,22.0,0.5238066283511867,14.48,14.8
fo2,11.0,18.0,22.0,0.023744687168172462,3.04,4.78
fo7,12.0,18.0,22.0,0.2839447295738424,12.32,12.56
fo8,12.0,19.0,22.0,0.02553535149200687,4.0,5.39
fo17,12.0,17.0,18.0,0.12880257278760918,5.64,6.14
