,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,4.0,6.0,15.0,0.123484720276148,11.702702702702704,14.445945945945946
dstar,5.0,8.0,14.0,0.12857165298652395,11.378378378378379,14.144144144144143
jaccard,5.0,8.0,14.0,0.12400237557987658,11.243243243243244,13.873873873873874
meco,5.0,8.0,14.0,0.11690706230607828,11.08108108108108,13.72972972972973
ochiai,5.0,8.0,14.0,0.12938116598091093,11.45945945945946,14.198198198198195
ochiai2,5.0,7.0,15.0,0.11177078652300448,10.594594594594595,13.319819819819822
opt,3.0,6.0,10.0,0.16058591824895008,13.297297297297296,15.756756756756756
tarantula,4.0,8.0,14.0,0.12448615451556873,11.405405405405405,14.033783783783784
sgf_1,5.0,8.0,14.0,0.12938116598091093,11.45945945945946,14.198198198198195
sgf_2,4.0,5.0,15.0,0.11388632957626303,9.432432432432432,12.227477477477477
fo1,3.0,7.0,10.0,0.6923978723627539,13.162162162162161,15.18693693693694
fo2,3.0,5.0,7.0,0.195341296846933,14.45945945945946,16.8490990990991
fo7,3.0,6.0,10.0,0.6698330664744705,13.513513513513514,15.637387387387388
fo8,3.0,4.0,7.0,0.2031529594536099,14.783783783783784,17.181531531531533
fo17,0.0,4.0,7.0,0.5019247929349929,26.324324324324323,29.531531531531527
