,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,4.0,13.0,14.0,0.08325373192021898,2.625,3.229166666666667
dstar,6.0,14.0,15.0,0.07765163725562432,2.3125,2.8541666666666665
jaccard,5.0,13.0,15.0,0.08220639962288669,2.4375,3.0104166666666665
meco,6.0,14.0,14.0,0.07945452187100893,2.4375,3.25
ochiai,5.0,14.0,16.0,0.08049254634653341,2.3125,2.9166666666666665
ochiai2,4.0,13.0,15.0,0.08334276325925033,2.5,3.15625
opt,5.0,15.0,16.0,0.05957908480807188,2.0625,2.614583333333333
tarantula,4.0,13.0,15.0,0.08265277038175745,2.5,3.104166666666667
sgf_1,5.0,14.0,16.0,0.08049254634653341,2.3125,2.9166666666666665
sgf_2,5.0,15.0,16.0,0.05897812326961034,2.0625,2.739583333333333
fo1,5.0,14.0,15.0,0.5034312224359779,2.3125,3.020833333333333
fo2,5.0,15.0,15.0,0.07210875161638729,2.1875,2.6458333333333335
fo7,6.0,14.0,15.0,0.40267277571965077,2.1875,2.927083333333333
fo8,4.0,14.0,15.0,0.07558097383860951,2.3125,2.729166666666667
fo17,3.0,8.0,14.0,0.311029246535712,3.8125,4.947916666666667
