,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,1.0,1.0,2.0,0.16666666666666666,2.5,2.5
dstar,0.0,0.0,1.0,0.3188405797101449,9.0,9.0
jaccard,1.0,1.0,2.0,0.16666666666666666,2.5,2.5
meco,0.0,0.0,1.0,0.3188405797101449,9.0,9.0
ochiai,1.0,1.0,2.0,0.16666666666666666,2.5,2.5
ochiai2,1.0,1.0,2.0,0.16666666666666666,2.5,2.5
opt,1.0,1.0,2.0,0.16666666666666666,2.5,2.5
tarantula,1.0,1.0,2.0,0.16666666666666666,2.5,2.5
sgf_1,1.0,1.0,2.0,0.16666666666666666,2.5,2.5
sgf_2,1.0,1.0,2.0,0.16666666666666666,2.5,2.5
fo1,2.0,2.0,2.0,0.0,1.0,1.0
fo2,1.0,1.0,2.0,0.16666666666666666,2.5,2.5
fo7,1.0,2.0,2.0,0.05555555555555555,1.5,1.5
fo8,1.0,1.0,2.0,0.16666666666666666,2.5,2.5
fo17,1.0,2.0,2.0,0.1111111111111111,2.0,2.0
