,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,18.0,26.0,33.0,0.050202924211110445,6.195652173913044,7.478260869565218
dstar,15.0,25.0,30.0,0.06634501476265016,8.652173913043478,10.1231884057971
jaccard,16.0,24.0,30.0,0.062025616149459346,8.23913043478261,9.632246376811594
meco,14.0,24.0,32.0,0.058750311519186214,7.304347826086956,8.726449275362318
ochiai,16.0,24.0,30.0,0.06395771309921326,8.58695652173913,10.052536231884057
ochiai2,16.0,24.0,30.0,0.06106121484027765,8.369565217391305,9.81340579710145
opt,13.0,19.0,28.0,0.09795166610246042,9.195652173913043,10.920289855072465
tarantula,16.0,26.0,32.0,0.05431603820191938,6.913043478260869,8.174818840579709
sgf_1,16.0,24.0,30.0,0.06395771309921326,8.58695652173913,10.052536231884057
sgf_2,16.0,24.0,29.0,0.06451838020811874,8.608695652173912,10.166666666666666
fo1,13.0,27.0,35.0,0.6368588982495443,5.217391304347826,6.205615942028985
fo2,13.0,18.0,27.0,0.10024048993587056,9.363636363636363,10.864583333333334
fo7,13.0,27.0,35.0,0.530164334202067,5.3478260869565215,6.273550724637682
fo8,13.0,19.0,28.0,0.09340192952836988,8.25,9.705492424242424
fo17,9.0,18.0,20.0,0.39382107302294267,18.043478260869566,20.952898550724637
