,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,3.0,8.0,10.0,0.08622672868880801,5.5625,5.71875
dstar,3.0,8.0,10.0,0.09191198484048207,5.5625,5.71875
jaccard,3.0,8.0,10.0,0.08538213409421343,5.5,5.65625
meco,3.0,8.0,10.0,0.0852938928679125,5.4375,5.59375
ochiai,3.0,8.0,10.0,0.09191198484048207,5.5625,5.71875
ochiai2,3.0,8.0,10.0,0.08538213409421343,5.5,5.65625
opt,3.0,8.0,10.0,0.09361594018062402,5.5,5.65625
tarantula,3.0,8.0,10.0,0.08538213409421343,5.5,5.65625
sgf_1,3.0,8.0,10.0,0.09191198484048207,5.5625,5.71875
sgf_2,3.0,8.0,10.0,0.08538213409421343,5.5,5.65625
fo1,2.0,6.0,10.0,0.6282119287685983,5.125,5.3125
fo2,3.0,7.0,10.0,0.1522342485588254,4.625,4.8125
fo7,3.0,6.0,10.0,0.5434145989054789,5.0,5.21875
fo8,3.0,7.0,10.0,0.1522342485588254,4.625,4.8125
fo17,3.0,5.0,8.0,0.4125914910397727,14.1875,15.1875
