,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,4.0,9.0,10.0,0.0491395159814811,8.764705882352942,9.382352941176471
dstar,5.0,9.0,9.0,0.049025830613311276,8.823529411764707,9.754901960784315
jaccard,4.0,9.0,10.0,0.05048851448499209,8.764705882352942,9.333333333333332
meco,5.0,9.0,11.0,0.04586376764414978,8.470588235294118,9.186274509803921
ochiai,4.0,9.0,9.0,0.0514105682921666,8.882352941176471,9.813725490196079
ochiai2,4.0,9.0,9.0,0.0514105682921666,8.882352941176471,9.57843137254902
opt,4.0,8.0,8.0,0.0549167725873164,9.588235294117647,11.803921568627452
tarantula,4.0,9.0,10.0,0.05005588829825208,8.764705882352942,9.333333333333332
sgf_1,4.0,9.0,9.0,0.0514105682921666,8.882352941176471,9.813725490196079
sgf_2,4.0,9.0,9.0,0.052279345716000486,8.941176470588236,10.411764705882353
fo1,3.0,8.0,9.0,0.7422050206815826,9.470588235294118,9.990196078431373
fo2,4.0,8.0,8.0,0.06034964212727019,9.235294117647058,10.284313725490197
fo7,3.0,9.0,9.0,0.7004093550469076,9.0,9.57843137254902
fo8,3.0,8.0,8.0,0.05977928819953557,9.294117647058824,10.30392156862745
fo17,1.0,5.0,7.0,0.4651953315410635,47.1764705882353,49.36274509803921
