,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,10.0,16.0,18.0,0.008268830527431697,4.6,13.439333333333334
dstar,7.0,11.0,13.0,0.03005346631778776,13.68,23.77733333333333
jaccard,7.0,13.0,15.0,0.021947407212470616,11.0,20.132
meco,10.0,13.0,19.0,0.008532805691291438,5.12,14.971999999999998
ochiai,7.0,13.0,17.0,0.009892317288507212,4.44,12.684000000000001
ochiai2,7.0,15.0,18.0,0.006762201874874233,3.84,12.629333333333333
opt,4.0,8.0,8.0,0.06211641291937698,24.2,31.852666666666664
tarantula,10.0,15.0,18.0,0.008175708180083343,4.24,12.755333333333333
sgf_1,7.0,13.0,17.0,0.009892317288507212,4.44,12.684000000000001
sgf_2,4.0,11.0,11.0,0.02711039957548115,13.96,21.972666666666665
fo1,9.0,16.0,19.0,0.6077990477223232,11.44,14.079333333333334
fo2,4.0,10.0,11.0,0.05279808101870583,10.76,16.370666666666665
fo7,6.0,15.0,18.0,0.40970476854561183,9.6,11.707333333333333
fo8,9.0,14.0,14.0,0.040312357245204974,9.32,14.702666666666666
fo17,3.0,10.0,11.0,0.30005087799260666,16.96,23.247333333333337
