,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,26.0,33.0,37.0,0.06412012058979187,100.73076923076923,134.21448814343552
dstar,23.0,27.0,31.0,0.13840772337155371,221.7403846153846,242.5211502313476
jaccard,21.0,28.0,30.0,0.08739127228446371,135.1346153846154,163.2306511470985
meco,23.0,27.0,30.0,0.06974222647934261,119.99038461538461,153.58722165991904
ochiai,21.0,27.0,30.0,0.1157636341378354,175.21153846153845,198.39861131193368
ochiai2,21.0,27.0,30.0,0.08694328599002686,157.28846153846155,185.82504217273953
opt,10.0,16.0,20.0,0.25024048757173883,254.08653846153845,278.6888947127434
tarantula,26.0,33.0,36.0,0.06737526345780201,91.36538461538461,121.79375783208019
sgf_1,21.0,27.0,30.0,0.11575761888314952,174.91346153846155,198.0825055427029
sgf_2,22.0,27.0,29.0,0.12477324702866732,230.8653846153846,252.61303438885673
fo1,44.0,53.0,58.0,0.5038193566169304,62.36538461538461,71.84101961634858
fo2,3.0,9.0,11.0,0.2194564643158846,239.46428571428572,265.67769274376417
fo7,22.0,32.0,39.0,0.47535818098390037,61.06730769230769,70.08155002891846
fo8,8.0,13.0,17.0,0.2018285459323644,215.3452380952381,241.2340419501134
fo17,11.0,15.0,20.0,0.5359981515295803,176.81730769230768,193.9532238047041
