,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,1.0,2.0,2.0,0.15966261567731177,26.4,26.4
dstar,0.0,1.0,1.0,0.2741519767691521,36.6,36.6
jaccard,0.0,0.0,0.0,0.29536973546781703,39.2,39.2
meco,0.0,0.0,1.0,0.18550120949683427,31.4,31.4
ochiai,0.0,0.0,0.0,0.2759448053461001,35.4,35.4
ochiai2,0.0,0.0,0.0,0.20208369634992618,32.6,32.6
opt,0.0,1.0,1.0,0.270651188724728,35.2,35.2
tarantula,1.0,2.0,2.0,0.17548334819057304,24.2,24.2
sgf_1,0.0,0.0,0.0,0.2759448053461001,35.4,35.4
sgf_2,0.0,0.0,0.0,0.24549041628181265,38.4,38.4
fo1,0.0,2.0,3.0,0.676108773527771,17.0,17.0
fo2,0.0,1.0,1.0,0.36659560540171804,30.0,30.0
fo7,0.0,0.0,2.0,0.5950365572921038,19.4,19.4
fo8,1.0,1.0,1.0,0.2739120345437366,21.6,21.6
fo17,0.0,1.0,1.0,0.2477490289027759,29.0,29.0
