,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,6.0,18.0,19.0,0.022770923100939547,12.128205128205128,20.655555555555555
dstar,6.0,17.0,19.0,0.027916758029175134,14.051282051282051,22.16794871794872
jaccard,7.0,18.0,19.0,0.022261643725221672,11.923076923076923,20.25051282051282
meco,8.0,17.0,18.0,0.03254199288907145,15.897435897435898,24.08128205128205
ochiai,7.0,18.0,20.0,0.021586629824046927,11.846153846153847,19.94025641025641
ochiai2,7.0,18.0,20.0,0.0215980003654461,11.974358974358974,20.377350427350425
opt,6.0,13.0,14.0,0.02380144346469178,12.846153846153847,22.41794871794872
tarantula,6.0,18.0,19.0,0.022288695008075184,11.923076923076923,20.31153846153846
sgf_1,7.0,18.0,20.0,0.021586629824046927,11.846153846153847,19.94025641025641
sgf_2,11.0,19.0,21.0,0.020486445550574457,11.384615384615385,19.80145299145299
fo1,6.0,16.0,21.0,0.7703853006205619,18.384615384615383,22.89222222222222
fo2,6.0,16.0,18.0,0.05589736110226337,18.76923076923077,25.04957264957265
fo7,5.0,15.0,20.0,0.698380863060254,18.487179487179485,22.871709401709403
fo8,5.0,16.0,18.0,0.055962861502555195,18.82051282051282,24.92820512820513
fo17,3.0,8.0,13.0,0.5268140189916943,51.30769230769231,61.862136752136756
