,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,1.0,3.0,8.0,0.020019491628426908,12.045454545454545,21.724999999999998
dstar,0.0,3.0,7.0,0.05539410571031902,20.681818181818183,30.470454545454547
jaccard,1.0,4.0,7.0,0.0261073417682733,12.090909090909092,21.53409090909091
meco,0.0,3.0,8.0,0.04905618093375743,20.227272727272727,29.697727272727274
ochiai,1.0,4.0,6.0,0.028369749529965828,13.227272727272727,23.056818181818183
ochiai2,1.0,4.0,6.0,0.02398570897543303,13.318181818181818,22.902272727272727
opt,1.0,4.0,6.0,0.10114017300995588,33.59090909090909,41.74318181818182
tarantula,1.0,3.0,7.0,0.025878591384003165,11.818181818181818,21.270454545454545
sgf_1,1.0,4.0,6.0,0.028369749529965828,13.227272727272727,23.056818181818183
sgf_2,1.0,4.0,6.0,0.04219236424247562,19.636363636363637,28.202272727272728
fo1,7.0,8.0,10.0,0.5634415244136092,15.0,17.14469696969697
fo2,1.0,3.0,5.0,0.14401045179430377,27.09090909090909,36.35909090909091
fo7,2.0,6.0,6.0,0.5874449227178589,16.0,18.046212121212122
fo8,1.0,3.0,5.0,0.14063967049719842,26.0,34.949999999999996
fo17,1.0,2.0,3.0,0.39704119167527135,34.13636363636363,40.278030303030306
