,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,41.0,56.0,56.0,0.035952186772253585,2.370967741935484,2.5026881720430105
dstar,36.0,53.0,55.0,0.054159625423199104,2.467741935483871,2.643817204301075
jaccard,40.0,55.0,56.0,0.03727566552523703,2.3225806451612905,2.4744623655913975
meco,35.0,54.0,55.0,0.056766585251084224,2.7096774193548385,2.865591397849462
ochiai,40.0,55.0,56.0,0.03641500693431528,2.2580645161290325,2.4139784946236555
ochiai2,40.0,55.0,56.0,0.03775535938353869,2.338709677419355,2.490591397849462
opt,39.0,53.0,57.0,0.041301282867277266,2.2096774193548385,2.3870967741935485
tarantula,41.0,56.0,56.0,0.034847610816234505,2.2580645161290325,2.389784946236559
sgf_1,40.0,55.0,56.0,0.03641500693431528,2.2580645161290325,2.4139784946236555
sgf_2,40.0,53.0,56.0,0.040534504396824496,2.4193548387096775,2.5954301075268815
fo1,21.0,53.0,55.0,0.5805066281111709,3.0483870967741935,3.125268817204301
fo2,27.0,52.0,55.0,0.08582883446357688,2.5737704918032787,2.739617486338798
fo7,24.0,53.0,55.0,0.3979101520611487,3.032258064516129,3.1481182795698923
fo8,30.0,52.0,55.0,0.08189519027205006,2.540983606557377,2.6904371584699454
fo17,27.0,46.0,52.0,0.221300355712978,3.9838709677419355,4.21747311827957
