,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,52.0,77.0,86.0,0.02862840678893547,3.6538461538461537,5.165407509157509
dstar,52.0,73.0,84.0,0.039413846764130685,3.951923076923077,5.930173992673992
jaccard,51.0,77.0,86.0,0.028841233468741147,3.6538461538461537,5.491643772893773
meco,51.0,70.0,81.0,0.03839599383544063,4.3076923076923075,5.824061355311356
ochiai,52.0,77.0,87.0,0.03047196916142105,3.7115384615384617,5.632440476190476
ochiai2,52.0,77.0,87.0,0.030175933779208037,3.6826923076923075,5.611836080586081
opt,48.0,70.0,80.0,0.04053214048016444,4.326923076923077,6.493704212454213
tarantula,52.0,77.0,86.0,0.028941085374718685,3.6538461538461537,5.33367673992674
sgf_1,52.0,77.0,87.0,0.03047196916142105,3.7115384615384617,5.632440476190476
sgf_2,49.0,72.0,82.0,0.03248753485917456,4.134615384615385,6.1097756410256405
fo1,34.0,77.0,88.0,0.5910593587540256,3.4615384615384617,4.178914835164835
fo2,50.0,74.0,85.0,0.03939772452880493,3.803921568627451,5.278011204481793
fo7,41.0,76.0,88.0,0.4405903357907083,3.4326923076923075,4.09375
fo8,51.0,72.0,85.0,0.03971407129555293,3.8529411764705883,5.3048552754435105
fo17,36.0,53.0,59.0,0.3084321400455826,9.971153846153847,11.468978937728938
