,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,3.0,6.0,7.0,0.05646529131039264,24.133333333333333,29.358187134502927
dstar,4.0,6.0,7.0,0.03453594035022998,10.6,17.869298245614036
jaccard,3.0,6.0,7.0,0.04079594637344467,13.8,19.196783625730994
meco,3.0,6.0,7.0,0.05994898013298578,26.933333333333334,32.278654970760236
ochiai,5.0,6.0,7.0,0.03479216761643338,10.733333333333333,17.04356725146199
ochiai2,5.0,6.0,7.0,0.041405492106700525,13.6,19.52426900584795
opt,2.0,4.0,4.0,0.1527370948918684,29.6,31.8453216374269
tarantula,3.0,6.0,7.0,0.044908471852453974,15.933333333333334,21.082748538011696
sgf_1,5.0,6.0,7.0,0.03479216761643338,10.733333333333333,17.04356725146199
sgf_2,3.0,4.0,6.0,0.04786425478037019,17.0,23.204970760233923
fo1,3.0,5.0,5.0,0.7077654519247394,41.666666666666664,42.32222222222222
fo2,4.0,5.0,5.0,0.10622596136066466,22.133333333333333,27.17426900584795
fo7,3.0,5.0,5.0,0.6461045257696583,41.266666666666666,42.00175438596491
fo8,2.0,5.0,5.0,0.10714992481056616,22.666666666666668,27.34269005847953
fo17,3.0,4.0,5.0,0.3991298453263873,47.93333333333333,49.85497076023391
