,Top-1,Top-3,Top-5,EXAM,MFR,MAR
barinel,7.0,15.0,17.0,0.024634427469956813,17.04,27.110666666666667
dstar,6.0,16.0,16.0,0.03064237024040988,19.48,26.058666666666667
jaccard,6.0,17.0,17.0,0.016782372611151942,15.72,23.63866666666667
meco,7.0,17.0,19.0,0.022261830613495334,14.4,23.722666666666665
ochiai,6.0,17.0,17.0,0.031103493222386255,19.84,26.29866666666667
ochiai2,6.0,17.0,17.0,0.01632035145757386,14.48,23.222666666666665
opt,8.0,15.0,15.0,0.047396760967835495,28.24,41.85466666666666
tarantula,7.0,16.0,17.0,0.017397791899232372,16.0,23.694666666666667
sgf_1,6.0,17.0,17.0,0.031103493222386255,19.84,26.29866666666667
sgf_2,8.0,17.0,17.0,0.02790725014021521,20.36,31.342666666666663
fo1,13.0,20.0,22.0,0.4023338092639736,11.16,11.624
fo2,6.0,17.0,18.0,0.05636599453624935,24.0,31.042666666666666
fo7,6.0,18.0,21.0,0.3954825209614557,11.72,12.184000000000001
fo8,7.0,17.0,18.0,0.05661793029880764,24.36,31.390666666666664
fo17,4.0,5.0,10.0,0.31670516344312694,30.72,35.288000000000004
