Project,Bug,barinel_Top-1,barinel_Top-3,barinel_Top-5,barinel_EXAM,barinel_MFR,barinel_MAR,dstar_Top-1,dstar_Top-3,dstar_Top-5,dstar_EXAM,dstar_MFR,dstar_MAR,jaccard_Top-1,jaccard_Top-3,jaccard_Top-5,jaccard_EXAM,jaccard_MFR,jaccard_MAR,meco_Top-1,meco_Top-3,meco_Top-5,meco_EXAM,meco_MFR,meco_MAR,ochiai_Top-1,ochiai_Top-3,ochiai_Top-5,ochiai_EXAM,ochiai_MFR,ochiai_MAR,ochiai2_Top-1,ochiai2_Top-3,ochiai2_Top-5,ochiai2_EXAM,ochiai2_MFR,ochiai2_MAR,opt_Top-1,opt_Top-3,opt_Top-5,opt_EXAM,opt_MFR,opt_MAR,tarantula_Top-1,tarantula_Top-3,tarantula_Top-5,tarantula_EXAM,tarantula_MFR,tarantula_MAR,sgf_1_Top-1,sgf_1_Top-3,sgf_1_Top-5,sgf_1_EXAM,sgf_1_MFR,sgf_1_MAR,sgf_2_Top-1,sgf_2_Top-3,sgf_2_Top-5,sgf_2_EXAM,sgf_2_MFR,sgf_2_MAR,fo1_Top-1,fo1_Top-3,fo1_Top-5,fo1_EXAM,fo1_MFR,fo1_MAR,fo2_Top-1,fo2_Top-3,fo2_Top-5,fo2_EXAM,fo2_MFR,fo2_MAR,fo7_Top-1,fo7_Top-3,fo7_Top-5,fo7_EXAM,fo7_MFR,fo7_MAR,fo8_Top-1,fo8_Top-3,fo8_Top-5,fo8_EXAM,fo8_MFR,fo8_MAR,fo17_Top-1,fo17_Top-3,fo17_Top-5,fo17_EXAM,fo17_MFR,fo17_MAR
Lang,1,0.0,1.0,1.0,0.007518796992481203,2.0,2.0,0.0,1.0,1.0,0.007518796992481203,2.0,2.0,0.0,1.0,1.0,0.007518796992481203,2.0,2.0,0.0,1.0,1.0,0.007518796992481203,2.0,2.0,0.0,1.0,1.0,0.007518796992481203,2.0,2.0,0.0,1.0,1.0,0.007518796992481203,2.0,2.0,0.0,1.0,1.0,0.007518796992481203,2.0,2.0,0.0,1.0,1.0,0.007518796992481203,2.0,2.0,0.0,1.0,1.0,0.007518796992481203,2.0,2.0,0.0,1.0,1.0,0.007518796992481203,2.0,2.0,0.0,1.0,1.0,0.9699248120300752,3.0,3.0,0.0,1.0,1.0,0.007518796992481203,2.0,2.0,0.0,1.0,1.0,0.9699248120300752,3.0,3.0,0.0,1.0,1.0,0.007518796992481203,2.0,2.0,0.0,0.0,0.0,0.8947368421052632,9.0,9.0
Lang,3,0.0,1.0,1.0,0.015037593984962405,2.0,2.0,0.0,1.0,1.0,0.015037593984962405,2.0,2.0,0.0,1.0,1.0,0.015037593984962405,2.0,2.0,0.0,1.0,1.0,0.015037593984962405,2.0,2.0,0.0,1.0,1.0,0.015037593984962405,2.0,2.0,0.0,1.0,1.0,0.015037593984962405,2.0,2.0,0.0,1.0,1.0,0.015037593984962405,2.0,2.0,0.0,1.0,1.0,0.015037593984962405,2.0,2.0,0.0,1.0,1.0,0.015037593984962405,2.0,2.0,0.0,1.0,1.0,0.015037593984962405,2.0,2.0,0.0,1.0,1.0,0.9699248120300752,3.0,3.0,0.0,1.0,1.0,0.015037593984962405,2.0,2.0,0.0,1.0,1.0,0.9699248120300752,3.0,3.0,0.0,1.0,1.0,0.015037593984962405,2.0,2.0,0.0,0.0,0.0,0.9022556390977443,8.0,8.0
Lang,4,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,0.0,1.0,1.0,0.75,3.0,3.5,0.0,1.0,1.0,0.125,2.0,2.5,0.0,1.0,1.0,0.75,3.0,3.5,0.0,1.0,1.0,0.125,2.0,2.5,0.0,0.0,1.0,0.375,4.0,4.5
Lang,5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9090909090909091,3.0,3.0,0.0,1.0,1.0,0.4,2.0,2.0,0.0,1.0,1.0,0.9090909090909091,3.0,3.0,0.0,1.0,1.0,0.4,2.0,2.0,0.0,1.0,1.0,0.45454545454545453,3.0,3.0
Lang,6,0.0,0.0,0.0,0.16923076923076924,10.0,10.0,0.0,0.0,0.0,0.16923076923076924,10.0,10.0,0.0,0.0,0.0,0.16923076923076924,10.0,10.0,0.0,0.0,0.0,0.16923076923076924,10.0,10.0,0.0,0.0,0.0,0.16923076923076924,10.0,10.0,0.0,0.0,0.0,0.16923076923076924,10.0,10.0,0.0,0.0,0.0,0.16923076923076924,10.0,10.0,0.0,0.0,0.0,0.16923076923076924,10.0,10.0,0.0,0.0,0.0,0.16923076923076924,10.0,10.0,0.0,0.0,0.0,0.16923076923076924,10.0,10.0,0.0,0.0,0.0,0.9794871794871794,9.0,9.0,0.0,0.0,0.0,0.171875,10.0,10.0,0.0,0.0,0.0,0.9794871794871794,9.0,9.0,0.0,0.0,0.0,0.171875,10.0,10.0,0.0,0.0,0.0,0.9692307692307692,26.0,26.0
Lang,7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8590604026845637,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8590604026845637,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Lang,8,0.0,1.0,1.0,0.015267175572519083,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.015267175572519083,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.015267175572519083,2.0,2.0,0.0,1.0,1.0,0.015267175572519083,2.0,2.0,0.0,1.0,1.0,0.015267175572519083,2.0,2.0,0.0,1.0,1.0,0.015267175572519083,2.0,2.0,0.0,1.0,1.0,0.015267175572519083,2.0,2.0,0.0,1.0,1.0,0.015267175572519083,2.0,2.0,0.0,1.0,1.0,0.6030534351145038,3.0,3.0,0.0,1.0,1.0,0.016,2.0,2.0,0.0,1.0,1.0,0.015267175572519083,2.0,2.0,0.0,1.0,1.0,0.016,2.0,2.0,0.0,1.0,1.0,0.015267175572519083,2.0,2.0
Lang,9,0.0,0.0,0.0,0.0962962962962963,9.0,9.0,0.0,0.0,0.0,0.07407407407407407,7.0,7.0,0.0,0.0,0.0,0.0962962962962963,9.0,9.0,0.0,0.0,0.0,0.21481481481481482,14.0,14.0,0.0,0.0,0.0,0.07407407407407407,7.0,7.0,0.0,0.0,0.0,0.0962962962962963,9.0,9.0,0.0,0.0,1.0,0.07407407407407407,4.0,4.0,0.0,0.0,0.0,0.0962962962962963,8.0,8.0,0.0,0.0,0.0,0.07407407407407407,7.0,7.0,0.0,0.0,0.0,0.18518518518518517,11.0,11.0,0.0,0.0,0.0,0.9481481481481482,11.0,11.0,0.0,1.0,1.0,0.03125,3.0,3.0,0.0,0.0,0.0,0.9481481481481482,11.0,11.0,0.0,1.0,1.0,0.03125,3.0,3.0,0.0,0.0,0.0,0.4740740740740741,13.0,13.0
Lang,10,0.0,0.0,0.0,0.15555555555555556,12.0,12.0,0.0,0.0,0.0,0.1259259259259259,10.0,10.0,0.0,0.0,0.0,0.13333333333333333,11.0,11.0,0.0,0.0,0.0,0.25925925925925924,16.0,16.0,0.0,0.0,0.0,0.1259259259259259,10.0,10.0,0.0,0.0,0.0,0.15555555555555556,12.0,12.0,0.0,0.0,0.0,0.0962962962962963,7.0,7.0,0.0,0.0,0.0,0.13333333333333333,10.0,10.0,0.0,0.0,0.0,0.1259259259259259,10.0,10.0,0.0,0.0,0.0,0.2074074074074074,13.0,13.0,0.0,0.0,0.0,0.9111111111111111,12.0,12.0,0.0,0.0,1.0,0.078125,5.0,5.0,0.0,0.0,0.0,0.8962962962962963,12.0,12.0,0.0,0.0,1.0,0.078125,5.0,5.0,0.0,0.0,0.0,0.5185185185185185,17.0,17.0
Lang,11,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0
