metrics:,ochiai,ochiai2,tarantula,barinel,opt,dstar,meco,sgf_1,sgf_2,fo1,fo2,fo3,fo4,fo5,fo6,fo7,fo8,fo9,fo10,fo12,fo13,fo14,fo15,fo16,fo17,fo19,fo20,fo21,fo22
Lang-1,2,2,2,2,2,2,2,2,2,1696,1,1442,1543,23,1716,1696,1,1698,284,1442,284,34,33,1442,28,34,33,184,284
Lang-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang-3,11,11,11,11,4,11,11,11,11,511,11,1031,1031,40,511,511,11,204,198,1031,198,44,51,1031,939,44,51,153,198
Lang-4,1,1,1,1,1,1,1,1,1,49,7,48,50,11,40,49,7,19,1,48,1,1,1,48,31,1,1,1,1
Lang-5,5,5,5,5,5,5,5,5,5,73,9,73,73,1,76,73,9,64,4,73,4,4,4,73,11,4,4,4,4
Lang-6,97,97,97,97,98,97,97,97,97,2784,98,2767,2768,32,2749,2784,98,51,49,2767,49,33,32,2767,2767,33,32,49,49
Lang-7,28,28,28,28,28,20,20,28,28,1658,17,1006,1474,127,1756,29,17,1777,448,1006,448,154,154,1006,28,154,154,282,448
Lang-8,C-5.0,C-5.0,C-5.0,C-5.0,C-5.0,C-4.0,C-4.0,C-5.0,C-5.0,C-1.0,C-5.0,C-3.0,C-1.0,C-1.0,C-1.0,C-3.0,C-5.0,C-4.0,C-5.0,C-1.0,C-5.0,C-5.0,C-5.0,C-1.0,C-5.0,C-5.0,C-5.0,C-5.0,C-7.0
Lang-9,39,52,52,52,37,39,146,39,85,621,59,322,358,17,607,621,59,382,310,341,322,37,162,352,278,37,162,305,336
Lang-10,67,67,67,67,59,67,81,67,67,622,74,376,447,12,560,622,74,180,37,372,37,37,152,385,342,37,152,37,113
