metrics:	ochiai	ochiai2	tarantula	barinel	opt	dstar	meco	sgf_1	sgf_2	fo1	fo2	fo3	fo4	fo5	fo6	fo7	fo8	fo9	fo10	fo12	fo13	fo14	fo15	fo16	fo17	fo19	fo20	fo21	fo22	
Lang-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	5.0	7.0	1.0	2.0	2.0	1.0	28.0	25.0	5.0	25.0	8.0	8.0	5.0	2.0	8.0	8.0	23.0	25.0	
Lang-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lang-3	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	1.0	1.0	1.0	3.0	23.0	25.0	3.0	25.0	9.0	9.0	3.0	5.0	9.0	9.0	23.0	25.0	
Lang-4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	12.0	15.0	1.0	2.0	3.0	2.0	6.0	1.0	12.0	1.0	1.0	1.0	12.0	9.0	1.0	1.0	1.0	1.0	
Lang-5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	3.0	8.0	8.0	1.0	2.0	4.0	3.0	5.0	1.0	8.0	1.0	1.0	1.0	8.0	4.0	1.0	1.0	1.0	1.0	
Lang-6	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	10.0	9.0	35.0	35.0	1.0	2.0	10.0	9.0	17.0	16.0	35.0	16.0	7.0	7.0	35.0	34.0	7.0	7.0	16.0	16.0	
Lang-7	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	3.0	2.0	3.0	6.0	1.0	2.0	2.0	2.0	30.0	27.0	3.0	27.0	13.0	13.0	3.0	2.0	13.0	13.0	25.0	27.0	
Lang-8	C-5.0	C-5.0	C-5.0	C-5.0	C-5.0	C-4.0	C-4.0	C-5.0	C-5.0	C-1.0	C-5.0	C-3.0	C-1.0	C-1.0	C-1.0	C-3.0	C-5.0	C-4.0	C-5.0	C-1.0	C-5.0	C-5.0	C-5.0	C-1.0	C-5.0	C-5.0	C-5.0	C-5.0	C-7.0	
Lang-9	12.0	15.0	14.0	15.0	9.0	12.0	21.0	12.0	17.0	15.0	3.0	17.0	28.0	1.0	3.0	15.0	3.0	56.0	44.0	20.0	47.0	9.0	20.0	24.0	13.0	9.0	20.0	41.0	51.0	
Lang-10	10.0	10.0	9.0	10.0	7.0	10.0	13.0	10.0	9.0	17.0	5.0	23.0	34.0	1.0	3.0	17.0	5.0	27.0	3.0	25.0	3.0	3.0	14.0	27.0	17.0	3.0	14.0	3.0	17.0	
Lang-11	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	
Lang-12	2.0	3.0	3.0	4.0	2.0	2.0	2.0	2.0	3.0	6.0	2.0	2.0	7.0	1.0	3.0	2.0	4.0	6.0	1.0	5.0	1.0	5.0	1.0	6.0	2.0	1.0	4.0	1.0	5.0	
Lang-13	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-2.0	C-2.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	
Lang-14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	17.0	18.0	1.0	2.0	3.0	2.0	8.0	6.0	17.0	6.0	1.0	1.0	17.0	15.0	1.0	1.0	5.0	6.0	
Lang-15	4.0	4.0	4.0	4.0	3.0	2.0	2.0	4.0	3.0	4.0	4.0	4.0	8.0	1.0	2.0	6.0	5.0	65.0	58.0	6.0	61.0	32.0	33.0	5.0	3.0	25.0	32.0	53.0	62.0	
Lang-16	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	5.0	7.0	1.0	2.0	3.0	2.0	31.0	28.0	5.0	28.0	8.0	8.0	5.0	2.0	8.0	8.0	26.0	28.0	
Lang-17	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	1.0	9.0	27.0	26.0	1.0	1.0	2.0	9.0	2.0	2.0	27.0	2.0	2.0	2.0	27.0	26.0	2.0	2.0	2.0	2.0	
Lang-18	20.0	20.0	20.0	20.0	20.0	19.0	19.0	20.0	20.0	21.0	20.0	37.0	38.0	1.0	2.0	21.0	20.0	2.0	2.0	37.0	2.0	2.0	2.0	37.0	38.0	2.0	2.0	2.0	2.0	
Lang-19	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	1.0	6.0	7.0	4.0	1.0	1.0	3.0	6.0	12.0	2.0	6.0	6.0	2.0	2.0	5.0	6.0	2.0	2.0	2.0	11.0	
Lang-20	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	6.0	2.0	2.0	3.0	2.0	20.0	18.0	3.0	17.0	1.0	1.0	3.0	3.0	2.0	1.0	16.0	17.0	
Lang-21	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	
Lang-22	3.0	4.0	4.0	5.0	2.0	3.0	5.0	3.0	2.0	10.0	5.0	10.0	17.0	1.0	3.0	10.0	5.0	13.0	1.0	16.0	1.0	1.0	4.0	16.0	4.0	1.0	5.0	1.0	6.0	
Lang-23	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-27.0	C-26.0	C-1.0	C-26.0	C-5.0	C-5.0	C-1.0	C-1.0	C-5.0	C-5.0	C-24.0	C-26.0	
Lang-24	1.0	1.0	1.0	1.0	1.0	11.0	11.0	1.0	1.0	2.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	28.0	27.0	1.0	27.0	12.0	11.0	1.0	1.0	11.0	11.0	25.0	27.0	
Lang-25	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	
